relsub,relsum,rel,index,title,date,summary,link
1,1,1,869,拜登出席台積電美國廠進機典禮　宣布美國製造業回來了,2022-12-07 07:28:00,"【盧宥竹／綜合外電】美國總統拜登周二（12/6）赴亞利桑那州鳳凰城出席台積電美國廠進機典禮，他在演說中宣布，「美國製造業回來了」。
",https://tw.nextapple.com/finance/20221207/0B6B88655E4D0D6DB67816A669C65760
0,0,0,870,中國無視俄國入侵烏克蘭　引發東歐、中歐國家失望反感,2022-11-03 23:45:00,中國無視俄羅斯野蠻入侵烏克蘭而繼續維持對俄密切關係，引起東、中歐國家強烈反彈，導致這些國家一一遠離中國。東中歐各國以往曾受俄羅斯嚴厲的政治打壓和地緣政治野心之害。,https://tw.nextapple.com/international/20221103/3267B43D9721C6AC6DB2BEA4F6A7BD69
0,1,1,871,無人機國造攏是假？　藍委曝：國慶在總統、院長頭上飛的是「中國貨」,2022-11-08 17:42:00,【記者施智齡／台北報導】台灣力推發展無人機產業，雙十國慶焰火晚會上，首度出動無人機隊飛出國旗圖樣、守土衛國字樣，展現國機國造傲人成果，然國民黨力委魯明哲今（8日）在立法院會踢爆，無人機國家隊廠商「台灣希望創新」，從機體、電池、控制系統到韌體都出自中國公司，行政院長蘇貞昌聽聞震驚表示，會把這個案子調查清楚。,https://tw.nextapple.com/politics/20221108/CFD8CE12E1163C38265B550135D1B793
0,0,0,872,TikTok認了　中國員工可取得英國、歐洲用戶資訊,2022-11-03 16:48:00,【蔡筱雯／綜合外電】影音分享APP「Tiktok」曾被指認為有收集用戶資訊、恐觸犯隱私權的疑慮，近日TikTok更新歐洲地區的隱私政策，坦承將允許中國等數個國家的員工取得用戶資訊，英國、歐盟、瑞士等國用戶都受影響。,https://tw.nextapple.com/international/20221103/5B338099A6E1FCDBC6C1039689940816
1,1,1,873,談台海、俄烏、北韓與氣候　法新社拜習會6重點一次看,2022-11-15 11:06:00,美國總統拜登和中國國家主席習近平今天藉出席印尼峇里島的G20峰會舉行場邊面對面會晤，是拜登就任以來兩人首度會面。拜登會後表示不認為中國有立即犯台企圖。,https://tw.nextapple.com/international/20221115/7A9BD82F58C3D246F6F6D711520DC97B
0,0,0,874,中信松壽大樓只賣151億疑賤賣　老臣、買家、鑑價師挨告！結果出爐,2022-12-07 17:42:00,【記者呂志明/台北報導】中信集團2014年間以151億元出售北市信義區松壽總部大樓，但該棟大樓鑑價至少215億元，遭外界質疑涉嫌賤賣，而居間牽線的中信金前財務長張明田等人、以及有「地產金童」之稱的買家、碩河開發董事長詹偉立等7人，被控涉犯《金融控股公司法》特別背信等罪，台北地檢署調查後認為7人罪嫌不足，於2020年9月1日做出不起訴處分，但高檢署認為當時為何要調降估價，負責鑑價的戴德梁行總經理顏炳立、估價師楊長達與張明田等人是否共謀，需再進一步詳查，另外當時中信集團為何要放棄容積補償，是否涉及《證交法》非常規交易，也有必要調查，因此將這個部分發回北檢續行偵查，但台北地檢署調查後仍認為7人罪嫌不足，再次處分不起訴。,https://tw.nextapple.com/local/20221207/3E5B9BADB9EF24E0C78E7BE66EB752E3
0,0,0,875,秋瓷炫2005年只會說「謝謝你好」　7年後大躍進演中國少數民族,2022-11-16 14:53:00,【記者宇若霏／台北報導】43歲韓國女星秋瓷炫2017年和中國男星結婚，育有1子，2019年回歸韓國電視圈，並演出韓劇《小女子》、《毒梟聖徒》，儘管戲分不多，但演技驚豔觀眾。秋瓷炫笑著說：「現在我已經40多歲了，以前傷心時候哭，開心時候笑，現在的我更體會，即使微笑也可以讓你看起來很悲傷。」,https://tw.nextapple.com/entertainment/20221116/5EEDDC93EE6B81EEED44E0C65E79EE74
1,1,1,876,昔稱小英「領導人」惹議　王鴻薇回嗆：民進黨沒梗！抗中保台牌已經失靈,2022-12-06 19:03:00,【生活中心／台北報導】國民黨北市立委補選參選人王鴻薇，過去在中國央視稱總統蔡英文為台灣「領導人」，引起她的競爭對手民進黨籍參選人吳怡農在臉書上抨擊。王鴻薇6日受訪時就指出，對手只是想藉這個議題打「抗中保台」牌，但是民進黨過去常用的「抗中保台」牌，在歷屆選舉只是「提款機」，卻在這一屆完全失靈，來看看影帶王鴻薇怎麼說。,https://tw.nextapple.com/life/20221206/7A1659E18E787F62804D558044E39CA8
0,0,0,877,中信金老臣賣地套利8.9億　年薪7000萬還把集團當肥羊宰！下場出爐,2022-12-06 17:52:00,"【記者丁牧群／台北報導】中信金控前行政長張明田被控2013年透過家族的永約公司，買進台北市內湖區2筆土地，高價賣給中信銀套利8.9億餘元，一審日前依違反《金融控股公司法》特別背信2罪，合併判張男應執行15年徒刑，併科罰金5億元，上訴後，由於最高法院大法庭裁定在案件未確定之前，法院不應定應執行刑，因此高等法院今針對特別背信2罪，各判張男8年6月、8年6月徒刑，併科罰金9000萬、3億元。
",https://tw.nextapple.com/local/20221206/C531D840B7CADAEA1F85AAF7401043DA
0,0,0,878,搶攻小家電　伊萊克斯全台首間體驗館開幕、今年新品助陣業績增４成,2022-12-06 19:04:00,【記者陳俐妏／台北報導】全球進入解封，面對高通膨環境，高端瑞典精品家電品牌伊萊克斯為深化消費體驗，宣布品牌首間生活體驗館正式開幕，採用綠能建材強打歐風沉浸方式，透過引進110伏特家電，加上除濕機等新品推出，今年業績有望繳出成長４成得亮眼成績。展望明年，伊萊克斯台灣總經理余倩梅表示，亞太通膨相較歐美影響較有限，透過新品換代，明年營運仍有２位數成長。 ,https://tw.nextapple.com/finance/20221206/35CF647611ECF53EECFE443EDDDE295C
