relsub,relsum,rel,index,title,date,summary,link
0,0,0,32,幣圈醜聞連環爆　美逮捕加密貨幣平台Bitzlato創辦人,2023-01-19 07:01:00,【國際中心】美國當局周三（1/18）表示，他們已逮捕虛擬貨幣交易所Bitzlato的大股東暨共同創辦人列科季莫夫（Anatoly Legkodymov），因為他涉嫌經手7億美元非法資金。,https://tw.nextapple.com/international/20230119/D3EDBC8F8164E7F05BDC200C5E50F5CC
1,0,1,33,印尼中資鎳礦公司暴動　勞工爭權益砸宿舍釀2死,2023-01-16 16:35:00,中國江蘇德隆鎳業公司印尼廠上周末發生暴動，起因為員工要求提高薪資和更好的安全條件而爆發衝突，導致兩人死亡。當地媒體稱，有多輛汽車及近百間員工宿舍遭破壞、燒毀，71人被警方拘留。,https://tw.nextapple.com/international/20230116/501207470C1416CBD268E2E64377DB30
0,0,0,34,牢中過年！前獨派立委羅志明涉共諜　防逃亡串證更裁收押,2023-01-19 17:00:00,海軍退役少將夏復翔、前立委羅志明捲入共諜案獲交保，雄檢抗告成功後，高雄地院今天依2人有高度逃亡、串證可能，更裁羈押禁見，且在看守所內禁看報紙、電視等。,https://tw.nextapple.com/local/20230119/ECEE112CBE3983EB2298D1AA141BDB94
1,1,1,35,又來了！中共突襲宣布軍演　民進黨譴責：加深台灣對中國「負面觀感」,2023-01-09 17:50:00,【記者潘袁詩羽／台北報導】中共解放軍昨天無預警宣布，要在台灣周邊海空域進行軍演。民進黨今天（9日）表達嚴厲譴責，新的一年甫開始還針對台灣軍演，不僅無法開啟兩岸平等互信的對話，反而更加深台灣民眾對於中國政府的負面觀感。,https://tw.nextapple.com/politics/20230109/24AF2B9E0090372D949D4E6EE3517CD5
0,0,0,36,駭人影片｜他夜遊醫院「大石砸頭隨機攻擊」　女病患夢中遇襲生死不明,2023-01-17 19:23:00,【劉育良／綜合報導】中國一家醫院發生恐怖的隨即攻擊案件，一名老人日前深夜搬著一塊大石頭，對著躺在醫院走道病床的患者進行砸頭攻擊，一名女病患被打得頭破血流從病床墜落，目前生死不知。,https://tw.nextapple.com/international/20230117/7DC3971165BA1A8EFCB129D6C375432A
0,0,0,37,學校宿舍上鋪「護欄隱形」　22歲女學生熟睡中墜落喪命,2023-01-14 13:15:00,【劉育良／綜合報導】中國江蘇省蘇州市托普信息職業技術學院，日前發生住宿女學生從宿舍上鋪摔死的悲劇，家屬控訴這是因為床鋪的「隱形護欄」根本無法起到防護效果導致。,https://tw.nextapple.com/international/20230114/0EFDD6FAA9BAF3C3C6F2782B985FE7A1
0,0,0,38,舒淇曬短髮帥照撞臉天團成員　圖文不符放閃老公馮德倫,2023-01-16 10:26:00,【記者張家玲／綜合報導】時尚雜誌《ELLE》中國版，近來公開了由女神舒淇擔綱主角拍攝的2月刊封面，她頂著俐落短髮入鏡，自己也在IG分享多張幕後自拍，寫道：「這麼颯的女子只有我愛。」帥樣甚至引來粉絲驚嘆第一眼以為是韓國天團「防彈少年團」（BTS）的成員J-hope。,https://tw.nextapple.com/entertainment/20230116/019214D0D77BE788AA7CC94A1B608F03
1,1,1,39,賴清德重申兩岸立場4堅持！「沒有宣布台灣獨立必要」　原因曝光,2023-01-18 16:08:00,【記者潘袁詩羽／台北報導】副總統賴清德正式接任民進黨主席！賴清德今天（18日）出席民進黨主席宣誓就職典禮，不過外界也關心賴清德正式接掌黨務後，是否會影響到未來民進黨的兩岸論述。對此，賴清德重申，會堅持總統蔡英文「四個堅持」的立場；並重申自己務實的認定「台灣已經是主權獨立國家」，沒有另外再宣布台灣獨立的必要。,https://tw.nextapple.com/politics/20230118/9DB3569A93CA2C98B9DFEC8FA9F73D65
1,1,1,40,中國入境陽性率17.2%！小三通復航第2日迎53旅客　採檢結果明出爐,2023-01-08 16:08:00,【記者林志怡／台北報導】繼「廈門─金門」小三通後，「福州─連江」小三通也在今天復航，總計53名旅客透過2航班抵台，中央流行疫情指揮中心表示，旅客的採檢檢體仍需送回台北的實驗室檢驗，因此結果將於明天一併公布，另1/6自中國入境台灣旅客的陽性率為17.2%。,https://tw.nextapple.com/life/20230108/C6DF3D1142FF5AC7FCF302AC97E9F414
0,1,1,41,無薪假人數大減！旅遊業好轉仍6千人實施　勞部：中國旅遊佔一定市場,2023-01-09 12:20:00,【記者陳明萱／台北報導】根據勞動部最新統計，目前共有2017家、1萬3499人實施無薪假，不過與上期(1/3)相比大減644家、4993人。隨著邊境開放，民眾紛紛計畫出國旅遊，不過支援服務業(旅行社)仍有1156家、6092人在放無薪假；勞動部表示，本期旅行社減少1600多人，但團客部分影響大，無論陸客來台、國人赴陸，中國旅遊仍在市場佔一定比例，需待疫情更和緩後持續評估。,https://tw.nextapple.com/life/20230109/4DFCF1181E7456E0408FE909D3D31F70
0,0,0,42,南韓「祕密警察站」案外案　中餐廳老闆助中國人返國遭當局調查,2023-01-03 21:12:00,【方璇／綜合外電】西班牙國際人權組織「保護衛士」（Safeguard Defenders）近日發布報告，指中國在南韓等多國設立「海外警察站」。當中一家位在首爾市某中餐廳被指控為祕密警察據點之一，該餐廳老闆日前出面否認指控，但仍引起南韓政府注意。今天（1/3）韓媒報導，外交部正對該餐廳老闆曾幫助中國人回國一事進行調查，並就此與中國溝通協調。,https://tw.nextapple.com/international/20230103/024E74E941108FC70E7F47B5C4B04650
0,0,0,43,科技業史上最大規模裁員　亞馬遜發信通知全球大砍1.8萬人,2023-01-19 14:11:00,【財經中心／台北報導】據報導，美國時間周三，亞馬遜高層發郵件確認啟動新一波裁員，依照之前報導，本次裁員預計波及1.8萬人，成科技史上裁員人數之最。,https://tw.nextapple.com/finance/20230119/C12E5D5580FDAB4C7A98F45FDCFF9616
0,1,1,44,南韓新規上路　今起中國入境人士均須PCR,2023-01-02 09:05:00,【蔡筱雯／綜合外電】因應中國近日疫情變化、又即將開放國界讓國民出境，全球已有多國宣布針對中國入境者採取新的限縮措施，南韓先前已決定將加強篩檢中國旅客，今天起生效，從中國搭機、搭船的所有人員均需接受PCR檢測，香港和澳門則不在此限。,https://tw.nextapple.com/international/20230102/E6F2A22871C4B5C6BBB3B8EAB97B3AE0
0,0,0,45,影片｜女客腳滑「跪磕櫃檯」慘摔　服務生這樣禮尚往來笑噴網友,2023-01-15 20:18:00,【劉育良／綜合報導】這地板真的太滑了！中國一名女子日前到江西省南昌市一家飯店住宿，想不到一進店就摔倒，櫃檯內女服務員見狀急忙要出來協助，結果也摔倒在地。影片昨晚被分享到微博，被中國網友調侃稱是「禮尚往來」。,https://tw.nextapple.com/international/20230115/0A310F5FEF34E6530C0865FE00CB9509
0,0,0,46,39歲唐嫣凍齡重現經典「李未央」　人妻解放素顏豪邁暴食,2023-01-19 14:07:00,【記者蔡依庭／台北報導】唐嫣、羅晉、吳建豪主演中國古裝劇《錦繡未央》已是近7年前作品，唐嫣飾演「李未央」雖被惡人用計欺負，但又能以智取過關，這也是她與老公羅晉的定情作。最近，她在綜藝節目以「李未央」造型示人，如今她已39歲，凍齡外表成了話題，不少網友誇她除了眼神變成熟，其他都沒啥改變。,https://tw.nextapple.com/entertainment/20230119/7ADA0E5571FB89A74C0F322A526C5AFB
0,0,0,47,中國鬆綁邊境管制　陸客入境泰國不須篩檢,2022-12-30 16:14:00,中國鬆綁邊境，預估將有海外旅遊潮。泰國官員表示，中國旅客入境不須出示陰性篩檢證明或接受檢測，規定就和其他國家旅客一樣。,https://tw.nextapple.com/international/20221230/87E0C6AB8147BE0481BC2860812C9E46
